"","NestN","PType","PlantN","PSpecies","HeightA","HeightL","HeightH","Region"
"119",18,"Native",1,1,10,9.3,10.2,"Haor"
"120",72,"Native",2,2,8.6,6.4,9.6,"Haor"
"121",2,"Exotic",1,1,13,13,13,"Haor"
"122",12,"Native",1,1,14.6,14,14.6,"Haor"
"123",44,"Native",1,1,12.4,11.8,12.6,"Haor"
"124",72,"Native",1,1,11.8,8.3,12.4,"Haor"
"125",9,"Native",2,2,11,10.6,12,"Haor"
"126",3,"Native",1,1,8.4,8,8.4,"Haor"
"127",18,"Native",1,1,10,9.4,10.6,"Haor"
"128",14,"Exotic",1,1,11.2,10.3,11.6,"Haor"
"129",47,"Native",3,3,10.2,9.6,10.3,"Haor"
"130",45,"Exotic",4,4,17,16,17,"Haor"
"131",28,"Native",2,2,13.4,13,13.4,"Haor"
"132",20,"Exotic",1,1,14.7,14,14.7,"Haor"
"133",5,"Exotic",1,1,13,12.5,13.6,"Haor"
"134",95,"Exotic",7,7,13.7,12,14,"Haor"
"135",55,"Exotic",1,1,15.4,12,16.6,"Haor"
"136",41,"Native",7,7,9.7,7.3,11.9,"Haor"
